size	Anzahl Dateien
0	60
1024	76
2048	33
3072	37
4096	24
5120	35
6144	26
7168	24
8192	22
9216	23
10240	23
11264	20
12288	21
13312	22
14336	19
15360	15
16384	23
17408	30
18432	15
19456	23
20480	21
21504	23
22528	20
23552	27
24576	20
25600	25
26624	21
27648	12
28672	24
29696	16
30720	16
31744	26
32768	19
33792	16
34816	10
35840	18
36864	15
37888	16
38912	11
39936	8
40960	11
41984	9
43008	12
44032	17
45056	20
46080	12
47104	10
48128	10
49152	8
50176	8
51200	7
52224	13
53248	14
54272	8
55296	5
56320	8
57344	6
58368	7
59392	15
60416	7
61440	6
62464	6
63488	13
64512	8
65536	7
66560	4
67584	9
68608	4
69632	11
70656	7
71680	5
72704	3
73728	6
74752	9
75776	5
76800	7
77824	11
78848	2
79872	7
80896	8
81920	3
82944	4
83968	9
84992	4
86016	8
87040	5
88064	5
89088	5
90112	8
91136	4
92160	2
93184	3
94208	1
95232	4
96256	4
97280	1
98304	6
99328	5
100352	2
101376	1
102400	9
104448	3
105472	2
106496	2
107520	1
108544	2
109568	2
110592	3
111616	2
112640	4
113664	2
115712	2
116736	2
117760	2
118784	2
119808	7
120832	1
121856	8
122880	3
123904	2
124928	2
125952	3
126976	1
128000	6
129024	5
130048	5
132096	5
133120	1
134144	1
135168	2
136192	1
137216	2
139264	2
140288	2
141312	3
142336	3
143360	1
145408	2
146432	1
147456	1
148480	1
149504	1
150528	3
151552	1
154624	2
155648	1
156672	4
158720	4
159744	6
160768	2
161792	3
162816	1
163840	2
165888	1
169984	3
171008	2
172032	2
173056	1
174080	2
175104	3
176128	3
178176	1
179200	1
181248	1
182272	1
183296	2
184320	3
185344	2
186368	5
187392	4
188416	1
189440	1
190464	3
191488	3
193536	2
194560	2
195584	3
199680	3
200704	2
201728	2
203776	1
204800	3
206848	1
207872	1
208896	1
210944	3
211968	1
212992	1
214016	1
215040	2
218112	1
219136	1
220160	1
223232	2
224256	2
226304	1
228352	2
229376	1
230400	1
231424	5
232448	5
233472	1
234496	3
235520	1
236544	1
238592	1
239616	1
240640	2
242688	3
245760	5
247808	3
248832	4
250880	1
251904	2
252928	2
253952	1
254976	3
256000	1
257024	3
258048	6
259072	1
261120	2
263168	2
265216	2
266240	1
267264	3
268288	3
269312	7
270336	4
272384	1
273408	2
276480	1
277504	2
278528	1
280576	2
281600	1
282624	1
283648	1
284672	3
285696	1
286720	2
287744	1
288768	1
289792	3
290816	2
291840	1
292864	3
293888	2
294912	1
295936	2
296960	1
297984	3
299008	1
300032	2
302080	1
303104	1
306176	1
307200	1
308224	1
309248	1
311296	2
312320	3
313344	1
314368	1
315392	2
316416	3
318464	1
320512	3
322560	1
323584	1
324608	1
325632	1
328704	1
329728	2
330752	2
333824	2
334848	1
335872	2
339968	1
342016	1
344064	3
345088	4
347136	1
348160	1
352256	2
353280	3
355328	1
356352	2
357376	1
358400	1
360448	1
361472	1
362496	1
363520	1
364544	1
365568	1
367616	2
368640	1
370688	1
372736	1
373760	2
374784	1
376832	1
378880	1
379904	1
380928	1
382976	2
384000	4
385024	3
386048	1
387072	2
388096	2
389120	2
391168	1
396288	1
399360	1
400384	1
401408	1
402432	1
404480	1
405504	3
406528	1
409600	2
410624	2
412672	5
414720	1
417792	1
418816	3
420864	2
425984	2
428032	1
435200	1
436224	1
439296	1
440320	1
445440	1
447488	1
448512	1
453632	2
457728	1
460800	1
463872	2
466944	2
470016	1
472064	1
473088	2
474112	1
475136	1
482304	1
484352	1
486400	1
488448	1
490496	1
495616	1
496640	2
498688	1
499712	1
501760	1
503808	1
505856	1
507904	1
508928	2
509952	1
515072	1
523264	1
526336	1
527360	1
529408	1
530432	2
531456	1
546816	1
550912	1
551936	1
553984	1
555008	3
558080	1
561152	1
564224	2
566272	1
567296	1
571392	1
578560	1
579584	1
582656	1
583680	1
586752	3
587776	2
588800	1
594944	2
601088	1
606208	1
611328	2
617472	2
647168	1
660480	1
664576	1
666624	1
680960	1
688128	1
694272	1
709632	1
716800	1
729088	1
748544	1
762880	1
771072	1
774144	3
801792	1
802816	1
827392	1
858112	1
878592	1
944128	1
1002496	1
1270784	1
1415168	3
